id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
74b2cd7e,Angelo Ogbonna,it ITA,DF,West Ham,32,1988,27.7,5,0,0,28,9,1,3,30,13,0,0,0,125,63,46,57.8,Matches
e7ee38c3,Robin Olsen,se SWE,GK,Everton,30,1990,7.0,1,0,0,0,1,0,0,0,0,0,0,0,9,2,0,100.0,Matches
6612cd8c,Josh Onomah,eng ENG,MF,Fulham,23,1997,4.2,1,0,0,12,0,0,2,2,8,0,0,0,18,4,7,36.4,Matches
43a166b4,Divock Origi,be BEL,FW,Liverpool,25,1995,2.1,0,0,0,0,1,0,3,1,2,0,0,0,5,3,7,30.0,Matches
79bc4c45,Ben Osborn,eng ENG,"MF,DF",Sheffield Utd,25,1994,17.8,1,0,0,10,15,4,68,12,18,0,0,0,95,12,17,41.4,Matches
6956ff08,Owen Otasowie,us USA,"MF,FW",Wolves,19,2001,2.1,1,0,0,3,6,0,0,3,5,0,0,0,16,8,9,47.1,Matches
38c7feef,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,26,1993,2.8,0,0,0,3,1,0,8,2,0,0,0,0,15,4,3,57.1,Matches
e0bc6fdc,Emerson Palmieri,it ITA,DF,Chelsea,25,1994,1.0,0,0,0,3,0,0,2,1,3,0,0,0,7,3,0,100.0,Matches
529f49ab,Thomas Partey,gh GHA,MF,Arsenal,27,1993,17.0,5,0,0,18,17,0,6,23,21,0,0,0,140,23,18,56.1,Matches
79b0d6a0,Rui Patrício,pt POR,GK,Wolves,32,1988,37.0,1,0,0,0,1,0,0,1,0,0,0,0,29,8,1,88.9,Matches
4879f8cb,Bailey Peacock-Farrell,nir NIR,GK,Burnley,23,1996,4.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
af341b88,Lee Peltier,eng ENG,DF,West Brom,33,1986,2.5,1,0,0,4,0,0,3,1,4,0,0,0,16,3,0,100.0,Matches
57e3f0c7,Nicolas Pépé,ci CIV,FW,Arsenal,25,1995,18.0,1,1,0,11,26,4,57,12,15,0,0,0,80,36,30,54.5,Matches
b04ee927,Matheus Pereira,pt POR,"MF,FW",West Brom,24,1996,28.6,2,1,0,34,52,13,145,29,15,1,0,0,172,13,33,28.3,Matches
75a72a99,Ricardo Pereira,pt POR,"DF,FW",Leicester City,26,1993,10.7,3,0,0,18,8,0,15,15,22,0,0,0,53,11,13,45.8,Matches
819aa8e7,Ayoze Pérez,es ESP,"MF,FW",Leicester City,27,1993,14.8,2,0,0,31,23,7,21,10,15,0,0,0,56,12,34,26.1,Matches
4f565d77,Kalvin Phillips,eng ENG,MF,Leeds United,24,1995,27.0,10,0,0,46,31,0,77,45,38,0,0,0,214,30,34,46.9,Matches
7bb5f40e,Matt Phillips,sct SCO,MF,West Brom,29,1991,20.3,1,0,0,29,7,8,72,10,8,0,0,0,107,16,36,30.8,Matches
515ebe8d,Nathaniel Phillips,eng ENG,DF,Liverpool,23,1997,16.2,2,0,0,20,9,0,1,20,14,0,0,0,83,95,47,66.9,Matches
19f4d211,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,18,2002,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,Matches
4806ec67,Jordan Pickford,eng ENG,GK,Everton,26,1994,30.5,1,0,0,1,4,0,0,3,0,0,1,0,27,9,0,100.0,Matches
1ef37668,Erik Pieters,nl NED,"DF,MF",Burnley,31,1988,14.1,1,0,0,26,21,1,19,12,21,1,0,1,74,13,9,59.1,Matches
7fcc71d8,Daniel Podence,pt POR,"MF,FW",Wolves,24,1995,18.5,3,0,0,14,27,4,32,13,6,0,0,0,81,7,15,31.8,Matches
867239d3,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,27,1993,21.1,3,0,0,41,38,4,22,26,26,2,2,0,148,55,33,62.5,Matches
4b40d9ca,Nick Pope,eng ENG,GK,Burnley,28,1992,32.0,1,0,0,2,5,0,0,2,1,0,2,0,40,7,4,63.6,Matches
86695068,Dennis Praet,be BEL,MF,Leicester City,26,1994,8.0,0,0,0,12,2,0,19,7,7,0,0,0,40,2,10,16.7,Matches
fdd85f94,Davy Pröpper,nl NED,MF,Brighton,28,1991,2.4,0,0,0,1,0,0,3,1,5,0,0,0,15,3,4,42.9,Matches
1bf33a9a,Christian Pulisic,us USA,"FW,MF",Chelsea,21,1998,19.3,2,0,0,13,33,4,35,12,11,0,0,0,60,19,42,31.1,Matches
466fb2c5,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38.0,1,0,0,1,5,0,0,2,1,0,1,0,25,8,3,72.7,Matches
1544f145,Jacob Ramsey,eng ENG,MF,Aston Villa,19,2001,7.0,0,0,0,13,11,2,8,4,5,0,0,0,38,7,9,43.8,Matches
dc31b84c,Kayne Ramsey,eng ENG,DF,Southampton,19,2000,1.0,1,0,0,1,0,0,0,0,2,0,0,0,6,0,1,0.0,Matches
6385ebfb,Darren Randolph,ie IRL,GK,West Ham,33,1987,3.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0,Matches
3423f250,Raphinha,br BRA,"MF,FW",Leeds United,23,1996,26.2,3,0,0,13,31,14,165,29,17,0,0,0,117,9,36,20.0,Matches
a1d5bd30,Marcus Rashford,eng ENG,FW,Manchester Utd,22,1997,32.4,4,0,0,25,42,27,36,8,9,2,0,0,111,25,19,56.8,Matches
28b40c9c,Tim Ream,us USA,DF,Fulham,32,1987,7.0,0,0,0,3,0,0,0,6,5,0,0,0,35,11,10,52.4,Matches
ab651565,Nathan Redmond,eng ENG,"MF,FW",Southampton,26,1994,19.3,1,0,0,31,15,3,29,11,17,0,1,0,93,10,26,27.8,Matches
803ae100,Harrison Reed,eng ENG,MF,Fulham,25,1995,25.0,5,0,0,40,25,0,27,50,38,0,0,0,180,20,28,41.7,Matches
3353737a,Sergio Reguilón,es ESP,DF,Tottenham,23,1996,24.9,5,0,0,26,19,1,62,32,25,1,1,1,134,29,35,45.3,Matches
0f7533cd,Bobby Reid,jm JAM,"MF,FW",Fulham,27,1993,26.4,7,0,0,38,20,3,41,21,15,1,0,0,102,16,40,28.6,Matches
1c7012b8,Declan Rice,eng ENG,MF,West Ham,21,1999,32.0,2,0,0,21,13,2,30,59,35,0,1,0,233,43,30,58.9,Matches
4fa62ae4,Lewis Richardson,eng ENG,"FW,MF",Burnley,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
fa031b34,Richarlison,br BRA,FW,Everton,23,1997,31.8,4,1,0,33,73,25,37,14,32,1,0,0,164,39,73,34.8,Matches
7a1f2c08,Jaïro Riedewald,nl NED,MF,Crystal Palace,23,1996,20.2,4,0,0,21,6,0,2,29,15,0,0,0,98,12,9,57.1,Matches
71ef519e,Matt Ritchie,sct SCO,"DF,MF",Newcastle Utd,30,1989,15.0,2,0,0,12,19,1,105,12,3,1,0,1,63,12,17,41.4,Matches
6c17e046,Tyler Roberts,wls WAL,"MF,FW",Leeds United,21,1999,14.9,3,0,0,23,32,8,12,9,13,0,0,0,57,19,23,45.2,Matches
2e4f5f03,Andrew Robertson,sct SCO,DF,Liverpool,26,1994,37.6,2,0,0,23,10,8,294,21,34,0,1,0,229,29,26,52.7,Matches
289601e6,Antonee Robinson,us USA,DF,Fulham,22,1997,24.0,4,1,0,20,8,1,101,37,28,0,0,0,135,36,18,66.7,Matches
e75750a3,Callum Robinson,ie IRL,"FW,MF",West Brom,25,1995,17.3,0,0,0,3,19,8,40,7,5,2,0,0,77,18,45,28.6,Matches
7399c7a8,Jack Robinson,eng ENG,DF,Sheffield Utd,26,1993,9.7,3,0,0,10,6,0,6,9,6,1,1,0,53,32,29,52.5,Matches
fb2dec57,Hal Robson-Kanu,wls WAL,FW,West Brom,31,1989,6.2,2,0,0,15,10,4,1,2,1,0,0,0,17,11,27,28.9,Matches
17acc2ed,Marek Rodák,sk SVK,GK,Fulham,23,1996,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
8d62d31a,Joe Rodon,wls WAL,DF,Tottenham,22,1997,8.1,0,0,0,2,8,1,0,21,9,0,0,0,36,21,13,61.8,Matches
6434f10d,Rodri,es ESP,MF,Manchester City,24,1996,30.5,6,0,0,44,30,2,14,36,40,0,0,0,285,79,31,71.8,Matches
1fb1c435,Rodrigo,es ESP,"MF,FW",Leeds United,29,1991,14.3,3,0,0,19,9,3,22,5,7,0,1,0,64,23,33,41.1,Matches
715bf047,James Rodríguez,co COL,"FW,MF",Everton,29,1991,19.6,4,0,0,17,40,6,88,15,17,1,0,0,123,6,8,42.9,Matches
4ab53cdb,Jay Rodriguez,eng ENG,FW,Burnley,31,1989,14.1,3,0,0,31,18,14,4,2,16,0,0,0,56,42,73,36.5,Matches
4b511457,Oriol Romeu,es ESP,MF,Southampton,28,1991,19.6,6,0,0,30,23,0,9,30,35,0,0,0,161,31,28,52.5,Matches
da8b19e2,John Ruddy,eng ENG,GK,Wolves,33,1986,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
18b896d6,Antonio Rüdiger,de GER,DF,Chelsea,27,1993,19.0,0,0,0,16,11,1,3,18,23,0,0,1,119,42,20,67.7,Matches
4535e4bb,Mathew Ryan,au AUS,GK,Arsenal,28,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
4535e4bb,Mathew Ryan,au AUS,GK,Brighton,28,1992,11.0,1,0,0,1,0,0,0,0,0,0,1,0,5,1,0,100.0,Matches
2b16cb1a,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23,1997,17.3,0,0,0,10,45,5,21,4,9,0,1,0,75,6,9,40.0,Matches
9fbbcf39,Romain Saïss,ma MAR,DF,Wolves,30,1990,26.7,2,0,0,29,11,1,17,52,24,0,2,0,142,71,59,54.6,Matches
bc7dc64d,Bukayo Saka,eng ENG,"FW,MF",Arsenal,18,2001,28.4,1,0,0,28,64,15,148,25,16,1,0,1,115,13,42,23.6,Matches
87935cf3,Mamadou Sakho,fr FRA,DF,Crystal Palace,30,1990,3.1,0,0,0,2,1,0,0,3,2,0,1,0,14,5,6,45.5,Matches
e342ad68,Mohamed Salah,eg EGY,FW,Liverpool,28,1992,34.2,0,0,0,22,22,13,29,1,9,2,0,0,93,18,42,30.0,Matches
0b33f6ad,Mohammed Salisu,gh GHA,DF,Southampton,21,1999,9.4,1,0,0,10,4,0,1,17,21,0,0,0,49,21,20,51.2,Matches
da7b447d,Davinson Sánchez,co COL,DF,Tottenham,24,1996,16.5,1,0,0,22,8,0,0,14,20,0,3,1,74,49,32,60.5,Matches
6a713852,Robert Sánchez,es ESP,GK,Brighton,22,1997,27.0,2,0,0,2,5,0,0,1,0,0,1,0,40,10,2,83.3,Matches
6e7f1353,Morgan Sanson,fr FRA,MF,Aston Villa,25,1994,3.3,3,0,0,6,8,2,16,4,4,0,0,0,19,5,3,62.5,Matches
77bb1522,Romaine Sawyers,kn SKN,MF,West Brom,28,1991,16.5,2,0,0,18,14,0,3,18,18,0,0,1,127,13,5,72.2,Matches
21945a9e,Dane Scarlett,eng ENG,FW,Tottenham,16,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
c8aa95da,Fabian Schär,ch SUI,DF,Newcastle Utd,28,1991,13.8,4,1,0,22,15,1,6,27,4,0,0,0,87,16,24,40.0,Matches
3312f911,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,27,1992,15.9,3,0,0,25,17,0,30,22,16,0,0,0,65,30,45,40.0,Matches
53af52f3,Kasper Schmeichel,dk DEN,GK,Leicester City,33,1986,38.0,0,0,0,0,4,0,0,0,0,0,0,1,23,10,0,100.0,Matches
d04b94db,Nélson Semedo,pt POR,"DF,MF",Wolves,26,1993,33.1,5,0,0,41,35,2,75,41,48,0,1,1,179,41,44,48.2,Matches
e4e0deaa,Femi Seriki,eng ENG,MF,Sheffield Utd,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
8d03ca5a,Jamie Shackleton,eng ENG,"MF,DF",Leeds United,20,1999,5.1,0,0,0,3,2,1,2,9,6,0,0,0,25,0,6,0.0,Matches
6421ec64,Xherdan Shaqiri,ch SUI,"MF,FW",Liverpool,28,1991,6.2,2,0,0,11,6,0,22,2,4,0,0,0,34,2,7,22.2,Matches
e8c9f4e9,Billy Sharp,eng ENG,FW,Sheffield Utd,34,1986,8.2,1,0,0,14,14,11,8,0,1,0,0,0,14,11,28,28.2,Matches
9c94165b,Luke Shaw,eng ENG,DF,Manchester Utd,25,1995,29.5,8,0,0,42,28,3,189,20,28,0,0,1,187,38,28,57.6,Matches
3727dd3c,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,28,1992,29.1,7,0,0,31,10,0,94,36,14,0,0,0,181,27,22,55.1,Matches
00f0482f,Shola Shoretire,eng ENG,FW,Manchester Utd,16,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches
76dd1480,Gylfi Sigurðsson,is ISL,"MF,FW",Everton,30,1989,25.0,2,0,0,22,18,0,100,34,20,0,0,0,119,5,11,31.3,Matches
3eb22ec9,Bernardo Silva,pt POR,"MF,FW",Manchester City,25,1994,22.9,5,0,0,17,18,2,32,17,14,0,0,0,113,13,31,29.5,Matches
e7aa9d7c,Fábio Silva,pt POR,FW,Wolves,18,2002,15.2,2,0,0,20,21,5,5,4,4,1,0,0,43,34,70,32.7,Matches
86e7deaf,Thiago Silva,br BRA,DF,Chelsea,35,1984,21.5,5,1,1,13,16,0,3,33,12,0,0,0,133,47,27,63.5,Matches
2acd49b9,Moussa Sissoko,fr FRA,MF,Tottenham,30,1989,17.6,3,0,0,22,9,0,9,23,16,0,0,0,113,16,22,42.1,Matches
ffec9769,Islam Slimani,dz ALG,FW,Leicester City,32,1988,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches
5e105217,William Smallbone,ie IRL,MF,Southampton,20,2000,1.9,0,0,0,3,2,0,5,2,3,0,0,0,12,2,4,33.3,Matches
17695062,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,20,2000,16.0,0,0,0,5,20,4,17,10,7,0,0,0,79,4,10,28.6,Matches
9f4647e9,Robert Snodgrass,sct SCO,"MF,FW",West Brom,32,1987,5.8,2,0,0,8,13,1,8,1,12,0,0,0,38,9,13,40.9,Matches
9f4647e9,Robert Snodgrass,sct SCO,"FW,MF",West Ham,32,1987,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
839c14e1,Cédric Soares,pt POR,DF,Arsenal,28,1991,8.3,1,0,0,6,5,0,34,8,8,0,0,0,40,7,12,36.8,Matches
6613c819,Tomáš Souček,cz CZE,MF,West Ham,25,1995,38.0,7,1,0,69,43,2,9,62,41,0,1,1,246,227,160,58.7,Matches
21166ff4,Çağlar Söyüncü,tr TUR,DF,Leicester City,24,1996,20.2,2,0,0,18,15,0,10,28,17,0,0,0,91,61,36,62.9,Matches
42130443,Zack Steffen,us USA,GK,Manchester City,25,1995,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
653ee42d,Dale Stephens,eng ENG,MF,Burnley,31,1989,2.9,1,0,0,8,2,0,0,8,6,0,0,0,21,5,2,71.4,Matches
6adbc307,Jack Stephens,eng ENG,DF,Southampton,26,1994,17.1,2,0,0,8,9,0,2,28,19,0,0,0,101,20,18,52.6,Matches
b400bde0,Raheem Sterling,eng ENG,FW,Manchester City,25,1994,28.2,4,0,0,36,41,9,20,15,10,2,0,0,99,9,21,30.0,Matches
17d4507a,Enda Stevens,ie IRL,DF,Sheffield Utd,30,1990,30.0,6,0,0,33,10,3,64,22,26,0,0,0,168,35,33,51.5,Matches
5eecec3d,John Stones,eng ENG,DF,Manchester City,26,1994,21.5,0,1,0,7,9,1,1,18,10,0,0,0,106,38,19,66.7,Matches
f4d296e4,Pascal Struijk,nl NED,"DF,MF",Leeds United,20,1999,23.1,3,0,0,26,7,0,1,47,30,0,1,0,129,46,48,48.9,Matches
e9971f2d,Japhet Tanganga,eng ENG,DF,Tottenham,21,1999,5.4,2,0,0,11,7,0,4,3,4,0,0,0,28,12,14,46.2,Matches
e514ab62,Matt Targett,eng ENG,DF,Aston Villa,24,1995,37.8,7,0,0,28,22,0,146,55,39,0,1,0,177,71,50,58.7,Matches
15ea812b,James Tarkowski,eng ENG,DF,Burnley,27,1992,36.0,6,0,0,27,29,3,6,44,39,0,0,0,160,165,71,69.9,Matches
4d0eb7d2,Percy Tau,za RSA,FW,Brighton,26,1994,1.1,0,0,0,0,1,0,2,0,1,0,0,0,3,0,5,0.0,Matches
3add8ed8,Sidnei Tavares,pt POR,MF,Leicester City,18,2001,0.9,0,0,0,1,3,0,0,0,1,0,0,0,6,1,1,50.0,Matches
cc2d7ad5,Charlie Taylor,eng ENG,DF,Burnley,26,1993,27.0,1,0,0,9,34,1,105,29,28,0,0,0,140,39,30,56.5,Matches
c2f9d19f,Neil Taylor,wls WAL,DF,Aston Villa,31,1989,0.2,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,Matches
ab7d7882,Allan Tchaptchet,fr FRA,DF,Southampton,18,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
f1e94cd6,Nathan Tella,eng ENG,"FW,MF",Southampton,21,1999,8.3,2,0,0,16,24,5,7,3,5,1,0,0,32,1,22,4.3,Matches
e73c9bb2,Alex Telles,br BRA,DF,Manchester Utd,27,1992,7.7,0,0,0,4,4,1,55,16,7,0,0,0,45,15,14,51.7,Matches
77d7c96f,Kenny Tete,nl NED,"DF,MF",Fulham,24,1995,16.5,3,0,0,28,18,2,72,27,30,0,1,0,85,29,19,60.4,Matches
b2ee9d2c,William Thomas Fish,eng ENG,FW,Manchester Utd,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
fc027d02,Luke Thomas,eng ENG,DF,Leicester City,19,2001,10.8,2,0,0,10,16,0,17,17,14,1,0,0,51,20,24,45.5,Matches
56f7a928,Youri Tielemans,be BEL,MF,Leicester City,23,1997,37.3,6,0,0,37,54,0,138,46,45,0,0,0,271,34,28,54.8,Matches
fce2302c,Kieran Tierney,sct SCO,DF,Arsenal,23,1997,25.5,4,0,0,14,18,0,125,16,15,1,0,0,115,16,42,27.6,Matches
e7ca0439,James Tomkins,eng ENG,DF,Crystal Palace,31,1989,6.1,1,0,0,3,1,0,0,4,2,0,1,0,22,11,10,52.4,Matches
7edfbb8a,Fikayo Tomori,eng ENG,DF,Chelsea,22,1997,0.5,0,0,0,1,0,0,0,2,1,0,0,0,5,0,0,,Matches
9e1035f8,Ferrán Torres,es ESP,"FW,MF",Manchester City,20,2000,14.5,1,0,0,16,17,5,33,3,5,1,0,0,41,14,20,41.2,Matches
9a104dee,Cenk Tosun,tr TUR,FW,Everton,29,1991,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0.0,Matches
b28bbd58,Andros Townsend,eng ENG,"MF,FW",Crystal Palace,29,1991,25.1,0,0,0,28,54,2,155,41,41,0,0,0,177,2,19,9.5,Matches
4dc4f138,Conor Townsend,eng ENG,DF,West Brom,27,1993,24.8,0,0,0,15,25,2,62,36,28,0,2,0,135,42,34,55.3,Matches
9a28eba4,Adama Traoré,es ESP,"FW,MF",Wolves,24,1996,29.4,4,0,0,47,86,7,150,7,16,1,0,0,104,73,76,49.0,Matches
c47541e0,Bertrand Traoré,bf BFA,FW,Aston Villa,24,1995,25.7,1,0,0,31,40,7,102,15,10,1,0,0,119,32,31,50.8,Matches
3ae14ed1,Trézéguet,eg EGY,FW,Aston Villa,25,1994,13.0,0,0,0,39,19,4,26,19,18,1,0,0,65,28,45,38.4,Matches
38ceb24a,Leandro Trossard,be BEL,"MF,FW",Brighton,25,1994,29.0,2,0,0,27,32,5,83,26,14,0,0,0,146,4,22,15.4,Matches
f315ca93,Kostas Tsimikas,gr GRE,"DF,FW",Liverpool,24,1996,0.1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0.0,Matches
2baec6ce,Axel Tuanzebe,eng ENG,DF,Manchester Utd,22,1997,4.5,2,0,0,6,2,0,0,3,7,0,0,1,30,6,5,54.5,Matches
1880614f,Cengiz Ünder,tr TUR,"FW,MF",Leicester City,23,1997,3.1,0,0,0,1,3,2,16,2,1,0,0,0,13,0,2,0.0,Matches
531a4aa8,Yan Valery,tn TUN,"DF,MF",Southampton,21,1999,1.1,0,0,0,1,1,0,4,2,3,0,0,0,7,2,3,40.0,Matches
e06683ca,Virgil van Dijk,nl NED,DF,Liverpool,29,1991,4.1,1,0,0,4,2,1,0,5,2,0,0,0,19,12,6,66.7,Matches
45963054,Jamie Vardy,eng ENG,FW,Leicester City,33,1987,31.6,1,0,0,26,25,36,20,4,12,5,0,0,45,50,68,42.4,Matches
dad4b285,Joël Veltman,nl NED,DF,Brighton,28,1992,25.3,3,0,0,34,39,0,63,33,33,0,0,0,140,42,38,52.5,Matches
1900032e,Jannik Vestergaard,dk DEN,DF,Southampton,27,1992,28.6,3,1,0,19,11,0,5,42,31,1,0,0,146,98,54,64.5,Matches
b937e490,Rúben Vinagre,pt POR,"MF,DF",Wolves,21,1999,1.9,0,0,0,2,0,0,4,2,5,0,0,0,12,1,3,25.0,Matches
8b529245,Carlos Vinícius,br BRA,FW,Tottenham,25,1995,3.4,2,0,0,11,3,2,2,2,1,0,0,0,7,14,16,46.7,Matches
728e9b2e,João Virgínia,pt POR,GK,Everton,20,1999,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
3b029691,Vitinha,pt POR,MF,Wolves,20,2000,5.8,0,0,0,8,5,1,14,3,3,0,0,0,32,0,1,0.0,Matches
d484c261,Jake Vokins,eng ENG,DF,Southampton,20,2000,0.7,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,,Matches
0d4ceb32,Matěj Vydra,cz CZE,FW,Burnley,28,1992,15.2,0,0,0,6,13,12,3,6,5,0,0,0,41,35,89,28.2,Matches
1ecb65be,Theo Walcott,eng ENG,"MF,FW",Southampton,31,1989,18.0,0,0,0,13,30,8,29,14,11,0,0,0,61,11,24,31.4,Matches
1ecb65be,Theo Walcott,eng ENG,FW,Everton,31,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
86dd77d1,Kyle Walker,eng ENG,DF,Manchester City,30,1990,21.6,1,0,0,25,11,1,38,14,19,0,3,0,114,27,14,65.9,Matches
984a5a64,Kyle Walker-Peters,eng ENG,DF,Southampton,23,1997,29.4,4,0,0,33,42,7,35,38,53,1,1,0,189,16,41,28.1,Matches
9e525177,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34.0,3,0,0,31,14,1,60,62,54,0,0,0,182,38,37,50.7,Matches
8a7ff278,Joel Ward,eng ENG,DF,Crystal Palace,30,1989,25.1,5,0,0,32,12,1,27,41,25,0,1,0,134,48,42,53.3,Matches
3515d404,James Ward-Prowse,eng ENG,MF,Southampton,25,1994,38.0,5,0,0,45,27,0,251,42,49,0,1,0,288,47,64,42.3,Matches
aed3a70f,Ollie Watkins,eng ENG,FW,Aston Villa,24,1995,37.0,4,1,1,47,49,31,22,7,17,0,0,0,77,136,154,46.9,Matches
c7170b46,Caleb Watts,au AUS,MF,Southampton,18,2002,0.4,1,0,0,0,1,0,1,0,1,0,0,0,2,1,3,25.0,Matches
c40b6180,Adam Webster,eng ENG,DF,Brighton,25,1995,28.8,4,0,0,24,15,1,1,47,16,0,0,0,146,77,52,59.7,Matches
ce5143da,Danny Welbeck,eng ENG,FW,Brighton,29,1990,17.2,0,0,0,19,17,5,3,7,6,2,0,0,31,21,43,32.8,Matches
49fe9070,Timo Werner,de GER,"FW,MF",Chelsea,24,1996,28.9,2,0,0,28,32,27,35,8,9,5,0,0,79,10,35,22.2,Matches
495945ef,Ashley Westwood,eng ENG,MF,Burnley,30,1990,37.9,7,0,0,35,42,0,182,44,15,0,0,0,244,14,22,38.9,Matches
35e413f1,Ben White,eng ENG,"DF,MF",Brighton,22,1997,35.5,5,1,1,30,9,1,22,62,26,0,0,0,186,49,49,50.0,Matches
eb58eef0,Georginio Wijnaldum,nl NED,MF,Liverpool,29,1990,32.7,1,0,0,15,24,0,6,26,7,0,0,0,198,39,37,51.3,Matches
5e74d6c8,Brandon Williams,eng ENG,DF,Manchester Utd,19,2000,2.1,0,0,0,2,3,0,1,1,0,0,0,0,12,0,1,0.0,Matches
dd323728,Neco Williams,wls WAL,DF,Liverpool,19,2001,2.8,1,0,0,3,6,0,24,6,5,0,1,0,16,2,5,28.6,Matches
012c975a,Rhys Williams,eng ENG,DF,Liverpool,19,2001,7.3,0,0,0,4,2,0,0,6,4,0,0,0,34,30,8,78.9,Matches
8b9ebd03,Willian,br BRA,FW,Arsenal,31,1988,15.6,0,0,0,5,21,4,104,8,7,0,0,0,47,9,16,36.0,Matches
a3b03921,Joe Willock,eng ENG,MF,Arsenal,20,1999,2.6,1,0,0,6,4,0,6,3,3,0,0,0,14,8,4,66.7,Matches
a3b03921,Joe Willock,eng ENG,MF,Newcastle Utd,20,1999,10.9,0,0,0,9,16,0,13,17,13,1,1,0,57,11,18,37.9,Matches
c596fcb0,Callum Wilson,eng ENG,FW,Newcastle Utd,28,1992,23.2,2,0,0,40,41,22,12,7,5,2,0,0,55,43,93,31.6,Matches
2f7acede,Harry Winks,eng ENG,MF,Tottenham,24,1996,9.6,5,0,0,11,12,0,2,11,9,0,0,0,60,7,5,58.3,Matches
4e9a0555,Chris Wood,nz NZL,FW,Burnley,28,1991,30.5,0,0,0,38,22,24,7,1,7,1,0,0,55,153,193,44.2,Matches
e61b8aee,Granit Xhaka,ch SUI,"MF,DF",Arsenal,27,1992,28.0,7,1,0,39,37,1,12,24,26,0,0,0,203,39,35,52.7,Matches
849c826a,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,30,1989,4.2,3,0,0,8,6,5,16,1,4,0,0,0,27,4,2,66.7,Matches
ae0a7ddf,DeAndre Yedlin,us USA,DF,Newcastle Utd,27,1993,4.8,0,0,0,4,4,1,13,7,4,0,0,0,16,4,1,80.0,Matches
e49ce451,Okay Yokuşlu,tr TUR,MF,West Brom,26,1994,14.6,4,0,0,25,28,1,2,35,25,0,2,0,124,41,27,60.3,Matches
b2bc3b1f,Wilfried Zaha,ci CIV,FW,Crystal Palace,27,1992,29.0,6,0,0,32,88,22,41,9,18,1,0,0,102,9,26,25.7,Matches
6bb2c084,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,24,1995,28.7,6,0,0,44,27,0,13,56,37,0,0,0,220,63,39,61.8,Matches
d01231f0,Andi Zeqiri,ch SUI,"FW,DF",Brighton,21,1999,1.9,0,0,0,2,2,0,6,0,2,0,0,0,7,2,4,33.3,Matches
51cf8561,Oleksandr Zinchenko,ua UKR,DF,Manchester City,23,1996,16.4,0,0,0,9,4,1,39,23,15,0,0,0,96,29,15,65.9,Matches
6622454d,Hakim Ziyech,ma MAR,"MF,FW",Chelsea,27,1993,13.0,3,0,0,19,15,4,64,10,10,0,0,0,68,5,18,21.7,Matches
ce4246f5,Kurt Zouma,fr FRA,DF,Chelsea,25,1994,22.5,3,0,0,17,6,0,0,28,10,0,0,0,97,84,38,68.9,Matches
79300479,Martin Ødegaard,no NOR,MF,Arsenal,21,1998,9.6,0,0,0,1,9,1,36,2,3,0,0,0,40,2,13,13.3,Matches
